"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3720","DAG1",5867.90772608753,-0.0702813803795795,0.0738480162348429,-0.951703024168974,0.341247615233377,0.386091708489981
"3721","DAGLA",862.13248035824,0.0693235998808464,0.124208186036606,0.558124243601912,0.5767595467984,0.619022886366364
"3722","DAGLB",895.192392574708,0.190200948071288,0.0675870859312246,2.814161099723,0.00489047131861367,0.00729335127363109
"3723","DAK",1942.06911491417,0.529497739462007,0.0970958303475662,5.45335198809883,4.94290902776526e-08,1.20351248951947e-07
"3724","DALRD3",808.703815473067,0.519145662437151,0.100257012687753,5.17814812669526,2.24099270919724e-07,5.15872385188577e-07
"3725","DAND5",8.23877327374335,-2.92408259712406,0.257821972565857,-11.3414794248273,8.17506143963513e-30,8.68779555624382e-29
"3726","DAO",15.1774027967684,-5.74170671077135,0.341103918828735,-16.832719865802,1.40497168663215e-63,1.1032279989337e-61
"3727","DAP",6056.56434328966,0.203004863316966,0.0799645863840437,2.53868459147653,0.0111270086822896,0.0158539309694484
"3728","DAP3",3839.42676878151,0.594559044369095,0.0602131322692841,9.87424207912185,5.38384142278256e-23,3.75783269019815e-22
"3729","DAPK1",771.54948334361,-0.716380338646431,0.216945004781657,-3.3021287554762,0.000959540133716606,0.0015559044175877
"3730","DAPK2",941.146944572689,-0.545892925583706,0.15410232666189,-3.54240547439254,0.000396495496983902,0.000670685162495657
"3731","DAPK3",1918.03714032446,0.0874571713833016,0.101892542076593,0.858327504652496,0.390711645898141,0.435948965599524
"3732","DAPL1",28.6327421415316,2.06082366748072,0.337612163824305,6.10411557491507,1.03371468399519e-09,2.89368456102367e-09
"3733","DAPP1",244.171431350142,0.298415363567568,0.200842974105088,1.48581430292616,0.137328245863805,0.166718515360103
"3734","DARS",3523.354659537,0.899909294719601,0.0799336892492692,11.2581979284514,2.11029896663973e-29,2.18515145135387e-28
